,cut 1,cut 2,yield,purity,c_s,v,mol1_D_L,mol1_k_ov,mol1_q_max,mol1_K_eq,mol1_z_p,mol1_n,mol1_K_s,mol2_D_L,mol2_k_ov,mol2_q_max,mol2_K_eq,mol2_z_p,mol2_n,mol2_K_s
0,0.0,3.0,7.382180813413722e-05,0.3900493670961814,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
1,0.0,6.0,0.00383040212353715,0.33989869284527663,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
2,0.0,9.0,0.05870634263041363,0.4561409360343951,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
3,0.0,12.0,0.23492434836736764,0.638368164340603,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
4,0.0,15.0,0.37637453009420085,0.708833533271618,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
5,0.0,18.0,0.4714708767436779,0.7369272497215911,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
6,0.0,21.0,0.5394178913517318,0.7517905609736402,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
7,0.0,24.0,0.5903852927811472,0.7609847086203883,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
8,0.0,27.0,0.6300307987113263,0.7672336625325971,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
9,0.0,30.0,0.6616546532264448,0.7717442153499063,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
10,3.0,6.0,0.003794194098215161,0.33947778792013006,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
11,3.0,9.0,0.05868219055136978,0.45617240927956615,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
12,3.0,12.0,0.23490622928059116,0.6383993886977289,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
13,3.0,15.0,0.3763600324105109,0.7088557732099992,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
14,3.0,18.0,0.4714587939989702,0.7369439908062062,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
15,3.0,21.0,0.5394075338918468,0.7518039060352563,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
16,3.0,24.0,0.5903762294645215,0.7609957834882717,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
17,3.0,27.0,0.6300227420570432,0.7672431204746721,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
18,3.0,30.0,0.6616473995520387,0.7717524689904984,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
19,6.0,9.0,0.05618242326477749,0.4632692024488835,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
20,6.0,12.0,0.23303088346442163,0.6429594912097378,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
21,6.0,15.0,0.3748595058780528,0.7119591090722028,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
22,6.0,18.0,0.4702082163614246,0.7392476951105547,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
23,6.0,21.0,0.5383355251697051,0.7536280278420444,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
24,6.0,24.0,0.5894381660221143,0.7625036382038833,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
25,6.0,27.0,0.629188869296873,0.7685274875660705,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
26,6.0,30.0,0.6608966361102988,0.7728712381378969,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
27,9.0,12.0,0.19088237109009645,0.7031845036006488,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
28,9.0,15.0,0.3411350799209812,0.7518597381736865,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
29,9.0,18.0,0.44210140716566415,0.768347434684479,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
30,9.0,21.0,0.5142420633127016,0.7764280044027488,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
31,9.0,24.0,0.5683551325520749,0.7812219152299438,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
32,9.0,27.0,0.6104475278079562,0.7843954599673202,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
33,9.0,30.0,0.6440231816564439,0.7866449708739129,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
34,12.0,15.0,0.1890214163458602,0.7965217629933872,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
35,12.0,18.0,0.31532594407501646,0.79823645289287,0.2,0.42901235759073575,0.059,5.42,0.08252098554267794,898.9796042050119,2.5194065790029843,0,0,0.059,5.42,0.18748293960464393,611.5535386686824,2.8949370396932883,0,0
