,cut 1,cut 2,yield,purity,c_s,v,mol1_D_L,mol1_k_ov,mol1_q_max,mol1_K_eq,mol1_z_p,mol1_n,mol1_K_s,mol2_D_L,mol2_k_ov,mol2_q_max,mol2_K_eq,mol2_z_p,mol2_n,mol2_K_s
0,0.0,3.0,0.34160614355938734,0.7928375323772935,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
1,0.0,6.0,0.7963063093957715,0.7982509718758292,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
2,0.0,9.0,0.9520621555959919,0.7990237893838571,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
3,0.0,12.0,1.0299401172965947,0.7993229500816752,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
4,0.0,15.0,1.076666894316985,0.7994817640081037,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
5,0.0,18.0,1.1078180789972447,0.7995802287200338,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
6,0.0,21.0,1.1301324687848655,0.7996474385903836,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
7,0.0,24.0,1.1467570598475698,0.7996958178054274,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
8,0.0,27.0,1.1597367201310116,0.7997326296332353,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
9,0.0,30.0,1.170120448357765,0.7997614934585692,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
10,3.0,6.0,0.6255032376160778,0.7997420662843111,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
11,3.0,9.0,0.8381934410761963,0.7998716495293552,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
12,3.0,12.0,0.944538581406748,0.7999145707509681,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
13,3.0,15.0,1.0083456656051075,0.7999359795878954,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
14,3.0,18.0,1.050883721737347,0.7999488083703471,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
15,3.0,21.0,1.0813548185860002,0.7999573777369212,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
16,3.0,24.0,1.1040562919026464,0.7999634546927064,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
17,3.0,27.0,1.1217804819577464,0.7999680283598375,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
18,3.0,30.0,1.1359598340018262,0.7999715845681752,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
19,6.0,9.0,0.4211912826654777,0.7999999853283647,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
20,6.0,12.0,0.6317869625987089,0.7999999926641326,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
21,6.0,15.0,0.7581443705586762,0.7999999951094047,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
22,6.0,18.0,0.8423826425319876,0.7999999963320404,0.2,0.817965417279707,0.059,5.42,0.08204923237221494,84.06039670660714,2.8878028001960914,0,0,0.059,5.42,0.06954705971120766,62.29844258873198,2.282362525501271,0,0
