,cut 1,cut 2,yield,purity,c_s,v,mol1_D_L,mol1_k_ov,mol1_q_max,mol1_K_eq,mol1_z_p,mol1_n,mol1_K_s,mol2_D_L,mol2_k_ov,mol2_q_max,mol2_K_eq,mol2_z_p,mol2_n,mol2_K_s
0,0.0,3.0,0.013719305099065583,0.7691918824901892,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
1,0.0,6.0,0.23686474763870527,0.7788936600230698,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
2,0.0,9.0,0.517238148677697,0.7897498260394691,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
3,0.0,12.0,0.6735032703128573,0.7939242022984802,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
4,0.0,15.0,0.7675367852805849,0.7957226409713477,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
5,0.0,18.0,0.8302297186069227,0.7967006166049757,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
6,0.0,21.0,0.8750104323397122,0.7973146205853506,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
7,0.0,24.0,0.9085959680676068,0.7977359523041858,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
8,0.0,27.0,0.9347954215243882,0.7980438864222126,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
9,0.0,30.0,0.9556157180920472,0.7982767139389267,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
10,3.0,6.0,0.2300050950891725,0.7791867647676061,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
11,3.0,9.0,0.5126650469780084,0.7899381541801058,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
12,3.0,12.0,0.6700734440380908,0.7940548887005637,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
13,3.0,15.0,0.764792924260772,0.7958211211173143,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
14,3.0,18.0,0.8279431677570785,0.7967793129025186,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
15,3.0,21.0,0.8730505316112742,0.7973800665657367,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
16,3.0,24.0,0.9068810549302235,0.7977919361388752,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
17,3.0,27.0,0.9332716186625889,0.798092764643128,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
18,3.0,30.0,0.9542437875821406,0.7983201131368517,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
19,6.0,9.0,0.35932831691856015,0.7946169663758844,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
20,6.0,12.0,0.5550708964935046,0.7972065859110031,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
21,6.0,15.0,0.672790886225103,0.7981511802473368,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
22,6.0,18.0,0.7512748027273544,0.7986194256312744,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
23,6.0,21.0,0.8073347901572249,0.7988984353685527,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
24,6.0,24.0,0.8493797811579303,0.7990836308712443,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
25,6.0,27.0,0.8821782987612549,0.7992158944385628,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
26,6.0,30.0,0.908242768564306,0.7993142185852349,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
27,9.0,12.0,0.2855746588045845,0.7996659326498458,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
28,9.0,15.0,0.4571938960739669,0.7998287255644888,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
29,9.0,18.0,0.5716106442680743,0.7998857886130389,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
30,9.0,21.0,0.6533369400492707,0.7999143469219104,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
31,9.0,24.0,0.7146316623134703,0.7999314803235011,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
32,9.0,27.0,0.7624465382182323,0.799942933526335,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
33,9.0,30.0,0.8004442734887379,0.7999510596497528,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
34,12.0,15.0,0.2287341690302992,0.7999913893311272,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
35,12.0,18.0,0.3812275383983513,0.7999956288374844,0.2,0.6367146829964955,0.059,5.42,0.14682206111123647,337.30990077551513,3.005447838973674,0,0,0.059,5.42,0.043497113367155164,323.81192869970147,3.0665234552381158,0,0
